clusters,genotype,cell.no,genotype.total,ratio,groups,Avg,sem
2,WT_XXO_CPZ_3,192,1012,0.18972332,XXO_CPZ,0.184951633,0.002567873
3,WT_XXO_CPZ_3,60,1012,0.059288538,XXO_CPZ,0.113213803,0.038019138
4,WT_XXO_CPZ_3,37,1012,0.036561265,XXO_CPZ,0.038602559,0.005703279
5,WT_XXO_CPZ_3,45,1012,0.044466403,XXO_CPZ,0.052052996,0.016540689
6,WT_XXO_CPZ_3,0,1012,0,XXO_CPZ,0.001893939,0.000981744
7,WT_XXO_CPZ_3,1,1012,0.000988142,XXO_CPZ,0.007406733,0.004651281
0,WT_XYT_Ctrl_1,196,353,0.555240793,XYT_Ctrl,0.494991128,0.044724897
1,WT_XYT_Ctrl_1,73,353,0.206798867,XYT_Ctrl,0.224730057,0.012999711
2,WT_XYT_Ctrl_1,5,353,0.014164306,XYT_Ctrl,0.014749331,0.002316338
3,WT_XYT_Ctrl_1,53,353,0.150141643,XYT_Ctrl,0.182814625,0.018633304
4,WT_XYT_Ctrl_1,17,353,0.04815864,XYT_Ctrl,0.058585264,0.023372409
5,WT_XYT_Ctrl_1,8,353,0.02266289,XYT_Ctrl,0.01791886,0.00566456
6,WT_XYT_Ctrl_1,0,353,0,XYT_Ctrl,0.005266449,0.004208991
7,WT_XYT_Ctrl_1,1,353,0.002832861,XYT_Ctrl,0.000944287,0.000944287
0,WT_XYT_Ctrl_2,150,368,0.407608696,XYT_Ctrl,0.494991128,0.044724897
1,WT_XYT_Ctrl_2,80,368,0.217391304,XYT_Ctrl,0.224730057,0.012999711
2,WT_XYT_Ctrl_2,7,368,0.019021739,XYT_Ctrl,0.014749331,0.002316338
3,WT_XYT_Ctrl_2,79,368,0.214673913,XYT_Ctrl,0.182814625,0.018633304
4,WT_XYT_Ctrl_2,38,368,0.10326087,XYT_Ctrl,0.058585264,0.023372409
5,WT_XYT_Ctrl_2,9,368,0.024456522,XYT_Ctrl,0.01791886,0.00566456
6,WT_XYT_Ctrl_2,5,368,0.013586957,XYT_Ctrl,0.005266449,0.004208991
7,WT_XYT_Ctrl_2,0,368,0,XYT_Ctrl,0.000944287,0.000944287
0,WT_XYT_Ctrl_3,236,452,0.522123894,XYT_Ctrl,0.494991128,0.044724897
1,WT_XYT_Ctrl_3,113,452,0.25,XYT_Ctrl,0.224730057,0.012999711
2,WT_XYT_Ctrl_3,5,452,0.011061947,XYT_Ctrl,0.014749331,0.002316338
3,WT_XYT_Ctrl_3,83,452,0.183628319,XYT_Ctrl,0.182814625,0.018633304
4,WT_XYT_Ctrl_3,11,452,0.024336283,XYT_Ctrl,0.058585264,0.023372409
5,WT_XYT_Ctrl_3,3,452,0.006637168,XYT_Ctrl,0.01791886,0.00566456
6,WT_XYT_Ctrl_3,1,452,0.002212389,XYT_Ctrl,0.005266449,0.004208991
7,WT_XYT_Ctrl_3,0,452,0,XYT_Ctrl,0.000944287,0.000944287
0,WT_XYT_CPZ_1,361,742,0.486522911,XYT_CPZ,0.489766707,0.037564167
1,WT_XYT_CPZ_1,129,742,0.173854447,XYT_CPZ,0.217243914,0.034273196
2,WT_XYT_CPZ_1,71,742,0.095687332,XYT_CPZ,0.099470706,0.025474332
3,WT_XYT_CPZ_1,124,742,0.167115903,XYT_CPZ,0.081181675,0.042980905
4,WT_XYT_CPZ_1,41,742,0.055256065,XYT_CPZ,0.0606642,0.012288019
5,WT_XYT_CPZ_1,11,742,0.014824798,XYT_CPZ,0.03891915,0.030461893
6,WT_XYT_CPZ_1,1,742,0.001347709,XYT_CPZ,0.005504896,0.002078929
7,WT_XYT_CPZ_1,4,742,0.005390836,XYT_CPZ,0.007248752,0.002679731
0,WT_XYT_CPZ_2,223,523,0.426386233,XYT_CPZ,0.489766707,0.037564167
1,WT_XYT_CPZ_2,149,523,0.284894837,XYT_CPZ,0.217243914,0.034273196
2,WT_XYT_CPZ_2,30,523,0.057361377,XYT_CPZ,0.099470706,0.025474332
3,WT_XYT_CPZ_2,19,523,0.036328872,XYT_CPZ,0.081181675,0.042980905
4,WT_XYT_CPZ_2,44,523,0.084130019,XYT_CPZ,0.0606642,0.012288019
5,WT_XYT_CPZ_2,52,523,0.099426386,XYT_CPZ,0.03891915,0.030461893
6,WT_XYT_CPZ_2,4,523,0.007648184,XYT_CPZ,0.005504896,0.002078929
7,WT_XYT_CPZ_2,2,523,0.003824092,XYT_CPZ,0.007248752,0.002679731
0,WT_XYT_CPZ_3,222,399,0.556390977,XYT_CPZ,0.489766707,0.037564167
1,WT_XYT_CPZ_3,77,399,0.192982456,XYT_CPZ,0.217243914,0.034273196
2,WT_XYT_CPZ_3,58,399,0.145363409,XYT_CPZ,0.099470706,0.025474332
3,WT_XYT_CPZ_3,16,399,0.040100251,XYT_CPZ,0.081181675,0.042980905
4,WT_XYT_CPZ_3,17,399,0.042606516,XYT_CPZ,0.0606642,0.012288019
5,WT_XYT_CPZ_3,1,399,0.002506266,XYT_CPZ,0.03891915,0.030461893
6,WT_XYT_CPZ_3,3,399,0.007518797,XYT_CPZ,0.005504896,0.002078929
7,WT_XYT_CPZ_3,5,399,0.012531328,XYT_CPZ,0.007248752,0.002679731
0,KO_XXO_Ctrl_1,180,296,0.608108108,KO_F_Ctrl,0.643069468,0.029046727
1,KO_XXO_Ctrl_1,85,296,0.287162162,KO_F_Ctrl,0.206707924,0.060767938
2,KO_XXO_Ctrl_1,8,296,0.027027027,KO_F_Ctrl,0.018504819,0.004266026
3,KO_XXO_Ctrl_1,4,296,0.013513514,KO_F_Ctrl,0.008480804,0.002631721
4,KO_XXO_Ctrl_1,8,296,0.027027027,KO_F_Ctrl,0.055834728,0.015529364
5,KO_XXO_Ctrl_1,8,296,0.027027027,KO_F_Ctrl,0.030670269,0.010893829
6,KO_XXO_Ctrl_1,1,296,0.003378378,KO_F_Ctrl,0.021897506,0.011789141
7,KO_XXO_Ctrl_1,2,296,0.006756757,KO_F_Ctrl,0.014834482,0.004733257
0,KO_XXO_Ctrl_2,134,216,0.62037037,KO_F_Ctrl,0.643069468,0.029046727
1,KO_XXO_Ctrl_2,53,216,0.24537037,KO_F_Ctrl,0.206707924,0.060767938
2,KO_XXO_Ctrl_2,3,216,0.013888889,KO_F_Ctrl,0.018504819,0.004266026
3,KO_XXO_Ctrl_2,1,216,0.00462963,KO_F_Ctrl,0.008480804,0.002631721
4,KO_XXO_Ctrl_2,13,216,0.060185185,KO_F_Ctrl,0.055834728,0.015529364
5,KO_XXO_Ctrl_2,3,216,0.013888889,KO_F_Ctrl,0.030670269,0.010893829
6,KO_XXO_Ctrl_2,4,216,0.018518519,KO_F_Ctrl,0.021897506,0.011789141
7,KO_XXO_Ctrl_2,5,216,0.023148148,KO_F_Ctrl,0.014834482,0.004733257
0,KO_XXO_Ctrl_3,96,137,0.700729927,KO_F_Ctrl,0.643069468,0.029046727
1,KO_XXO_Ctrl_3,12,137,0.087591241,KO_F_Ctrl,0.206707924,0.060767938
2,KO_XXO_Ctrl_3,2,137,0.01459854,KO_F_Ctrl,0.018504819,0.004266026
3,KO_XXO_Ctrl_3,1,137,0.00729927,KO_F_Ctrl,0.008480804,0.002631721
4,KO_XXO_Ctrl_3,11,137,0.080291971,KO_F_Ctrl,0.055834728,0.015529364
5,KO_XXO_Ctrl_3,7,137,0.051094891,KO_F_Ctrl,0.030670269,0.010893829
6,KO_XXO_Ctrl_3,6,137,0.04379562,KO_F_Ctrl,0.021897506,0.011789141
7,KO_XXO_Ctrl_3,2,137,0.01459854,KO_F_Ctrl,0.014834482,0.004733257
0,KO_XXO_CPZ_1,225,572,0.393356643,KO_F_CPZ,0.470548524,0.087801396
1,KO_XXO_CPZ_1,186,572,0.325174825,KO_F_CPZ,0.241191515,0.052891781
2,KO_XXO_CPZ_1,97,572,0.16958042,KO_F_CPZ,0.157203849,0.01594619
3,KO_XXO_CPZ_1,2,572,0.003496503,KO_F_CPZ,0.002660269,0.001360357
4,KO_XXO_CPZ_1,36,572,0.062937063,KO_F_CPZ,0.049555474,0.011386909
5,KO_XXO_CPZ_1,24,572,0.041958042,KO_F_CPZ,0.06217031,0.028076648
6,KO_XXO_CPZ_1,1,572,0.001748252,KO_F_CPZ,0.009829798,0.00467337
7,KO_XXO_CPZ_1,1,572,0.001748252,KO_F_CPZ,0.006840261,0.002557398
0,KO_XXO_CPZ_2,144,223,0.64573991,KO_F_CPZ,0.470548524,0.087801396
1,KO_XXO_CPZ_2,32,223,0.143497758,KO_F_CPZ,0.241191515,0.052891781
2,KO_XXO_CPZ_2,28,223,0.125560538,KO_F_CPZ,0.157203849,0.01594619
3,KO_XXO_CPZ_2,1,223,0.004484305,KO_F_CPZ,0.002660269,0.001360357
4,KO_XXO_CPZ_2,6,223,0.02690583,KO_F_CPZ,0.049555474,0.011386909
5,KO_XXO_CPZ_2,6,223,0.02690583,KO_F_CPZ,0.06217031,0.028076648
6,KO_XXO_CPZ_2,4,223,0.01793722,KO_F_CPZ,0.009829798,0.00467337
7,KO_XXO_CPZ_2,2,223,0.00896861,KO_F_CPZ,0.006840261,0.002557398
0,KO_XXO_CPZ_3,38,102,0.37254902,KO_F_CPZ,0.470548524,0.087801396
1,KO_XXO_CPZ_3,26,102,0.254901961,KO_F_CPZ,0.241191515,0.052891781
2,KO_XXO_CPZ_3,18,102,0.176470588,KO_F_CPZ,0.157203849,0.01594619
3,KO_XXO_CPZ_3,0,102,0,KO_F_CPZ,0.002660269,0.001360357
4,KO_XXO_CPZ_3,6,102,0.058823529,KO_F_CPZ,0.049555474,0.011386909
5,KO_XXO_CPZ_3,12,102,0.117647059,KO_F_CPZ,0.06217031,0.028076648
6,KO_XXO_CPZ_3,1,102,0.009803922,KO_F_CPZ,0.009829798,0.00467337
7,KO_XXO_CPZ_3,1,102,0.009803922,KO_F_CPZ,0.006840261,0.002557398
0,KO_XYT_Ctrl_1,229,337,0.679525223,KO_M_Ctrl,0.642579836,0.028070175
1,KO_XYT_Ctrl_1,75,337,0.222551929,KO_M_Ctrl,0.238668103,0.020389399
2,KO_XYT_Ctrl_1,6,337,0.017804154,KO_M_Ctrl,0.019029956,0.004169227
3,KO_XYT_Ctrl_1,4,337,0.011869436,KO_M_Ctrl,0.006833463,0.002519452
4,KO_XYT_Ctrl_1,13,337,0.038575668,KO_M_Ctrl,0.058592683,0.011720921
5,KO_XYT_Ctrl_1,7,337,0.020771513,KO_M_Ctrl,0.018630187,0.005433279
6,KO_XYT_Ctrl_1,2,337,0.005934718,KO_M_Ctrl,0.013287763,0.005919548
7,KO_XYT_Ctrl_1,1,337,0.002967359,KO_M_Ctrl,0.002378009,0.001238383
0,KO_XYT_Ctrl_2,141,240,0.5875,KO_M_Ctrl,0.642579836,0.028070175
1,KO_XYT_Ctrl_2,67,240,0.279166667,KO_M_Ctrl,0.238668103,0.020389399
2,KO_XYT_Ctrl_2,3,240,0.0125,KO_M_Ctrl,0.019029956,0.004169227
3,KO_XYT_Ctrl_2,1,240,0.004166667,KO_M_Ctrl,0.006833463,0.002519452
4,KO_XYT_Ctrl_2,19,240,0.079166667,KO_M_Ctrl,0.058592683,0.011720921
5,KO_XYT_Ctrl_2,2,240,0.008333333,KO_M_Ctrl,0.018630187,0.005433279
6,KO_XYT_Ctrl_2,6,240,0.025,KO_M_Ctrl,0.013287763,0.005919548
7,KO_XYT_Ctrl_2,1,240,0.004166667,KO_M_Ctrl,0.002378009,0.001238383
0,KO_XYT_Ctrl_3,148,224,0.660714286,KO_M_Ctrl,0.642579836,0.028070175
1,KO_XYT_Ctrl_3,48,224,0.214285714,KO_M_Ctrl,0.238668103,0.020389399
2,KO_XYT_Ctrl_3,6,224,0.026785714,KO_M_Ctrl,0.019029956,0.004169227
3,KO_XYT_Ctrl_3,1,224,0.004464286,KO_M_Ctrl,0.006833463,0.002519452
4,KO_XYT_Ctrl_3,13,224,0.058035714,KO_M_Ctrl,0.058592683,0.011720921
5,KO_XYT_Ctrl_3,6,224,0.026785714,KO_M_Ctrl,0.018630187,0.005433279
6,KO_XYT_Ctrl_3,2,224,0.008928571,KO_M_Ctrl,0.013287763,0.005919548
7,KO_XYT_Ctrl_3,0,224,0,KO_M_Ctrl,0.002378009,0.001238383
0,KO_XYT_CPZ_1,225,560,0.401785714,KO_M_CPZ,0.427290399,0.035730553
1,KO_XYT_CPZ_1,179,560,0.319642857,KO_M_CPZ,0.292246788,0.01830762
2,KO_XYT_CPZ_1,84,560,0.15,KO_M_CPZ,0.168942054,0.01883486
3,KO_XYT_CPZ_1,17,560,0.030357143,KO_M_CPZ,0.026065677,0.009110675
4,KO_XYT_CPZ_1,18,560,0.032142857,KO_M_CPZ,0.03180108,0.001570809
5,KO_XYT_CPZ_1,30,560,0.053571429,KO_M_CPZ,0.043871283,0.005346591
6,KO_XYT_CPZ_1,5,560,0.008928571,KO_M_CPZ,0.004353601,0.002579832
7,KO_XYT_CPZ_1,2,560,0.003571429,KO_M_CPZ,0.005429117,0.001585573
0,KO_XYT_CPZ_2,185,484,0.382231405,KO_M_CPZ,0.427290399,0.035730553
1,KO_XYT_CPZ_2,145,484,0.299586777,KO_M_CPZ,0.292246788,0.01830762
2,KO_XYT_CPZ_2,100,484,0.20661157,KO_M_CPZ,0.168942054,0.01883486
3,KO_XYT_CPZ_2,19,484,0.039256198,KO_M_CPZ,0.026065677,0.009110675
4,KO_XYT_CPZ_2,14,484,0.02892562,KO_M_CPZ,0.03180108,0.001570809
5,KO_XYT_CPZ_2,17,484,0.035123967,KO_M_CPZ,0.043871283,0.005346591
6,KO_XYT_CPZ_2,2,484,0.004132231,KO_M_CPZ,0.004353601,0.002579832
7,KO_XYT_CPZ_2,2,484,0.004132231,KO_M_CPZ,0.005429117,0.001585573
0,KO_XYT_CPZ_3,116,233,0.497854077,KO_M_CPZ,0.427290399,0.035730553
1,KO_XYT_CPZ_3,60,233,0.25751073,KO_M_CPZ,0.292246788,0.01830762
2,KO_XYT_CPZ_3,35,233,0.150214592,KO_M_CPZ,0.168942054,0.01883486
3,KO_XYT_CPZ_3,2,233,0.008583691,KO_M_CPZ,0.026065677,0.009110675
4,KO_XYT_CPZ_3,8,233,0.034334764,KO_M_CPZ,0.03180108,0.001570809
5,KO_XYT_CPZ_3,10,233,0.042918455,KO_M_CPZ,0.043871283,0.005346591
6,KO_XYT_CPZ_3,0,233,0,KO_M_CPZ,0.004353601,0.002579832
7,KO_XYT_CPZ_3,2,233,0.008583691,KO_M_CPZ,0.005429117,0.001585573
